Country,Code,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,LifeExpectancy,BirthRate,DeathRate,ElderlyPop,FemaleLabor,Unemployment,Renewable,Energy,Electricity,Developed,HDI,HDIGroup
Myanmar,MMR,652.67,54.134,82.4,1233,67.9,0.7,,14.24,4.39,463,44,106.7,0.21,5.3,7.1,67.3,16.8,8.7,7.1,45,2.8,62.9,8.32,436,1,0.608,Medium
Namibia,NAM,823.29,2.963,3.5,4168,45.1,1.48,,8.34,11.24,16,62.2,113.2,2.39,22.2,6.7,58.1,26.9,11.5,3.6,56.8,19.4,30,24.73,1313,1,0.61,Medium
Nauru,NRU,0.02,0.012,590,12983,0,0,,,9.14,,82.7,79.9,,,23.4,64,26.8,6.6,2.7,,,1.9,0,3191,2,0.696,Medium
Nepal,NPL,143.35,29.695,207.3,1378,78.1,0.53,,3.78,6.49,112,49.6,127.2,0.02,5.7,8.7,70.5,20.2,6.7,6.4,30.3,10.7,73.7,6.35,330,1,0.601,Medium
Netherlands,NLD,33.67,17.877,525.7,64572,6.8,7.61,2.14,3.67,16.86,41,97,118.1,0.01,2.5,4.5,81.7,9.5,9.6,20.2,80,3.6,12.2,185.54,6049,3,0.946,Very High
New Caledonia,NCL,18.28,0.29,15.7,33516,27.3,18.67,,,,,,90.3,,5.6,23.4,81,14.1,7.1,11.1,61.1,11.2,9.6,,10420,3,,
New Zealand,NZL,263.31,5.223,19.4,48281,13,6.33,1.56,2.82,18.57,10,95.7,114.7,0.01,2.5,6.2,82.8,11.5,7.5,16.8,79.2,3.7,28.9,121.65,7810,3,0.939,Very High
Nicaragua,NIC,120.34,6.824,55.9,2613,40.2,0.85,1.31,1.97,20.09,12,61.1,97.1,0.08,19.6,9.3,74.6,20,4.7,5.4,52,4.8,50.4,10.32,682,1,0.669,Medium
Niger,NER,1266.7,26.16,20,643,82.9,0.1,,7.21,8.75,10,16.9,56.4,0.06,13.3,5.2,62.1,45,7.8,2.6,63.5,0.6,79.6,1.7,63,1,0.394,Low
Nigeria,NGA,910.77,227.883,245,1597,45.7,0.55,0.67,4.22,4.06,223,35.5,101.7,,18,3.6,53.6,36.6,12.4,3,52.1,3.1,80.3,7.99,150,1,0.548,Low
North Macedonia,MKD,25.22,1.828,72.6,8624,40.5,4.55,,4.59,13,16,84.2,97.8,0.03,2.5,6.1,74.4,9.9,12.3,17.5,52.2,13.1,19.5,49.27,3225,2,0.765,High
Northern Mariana Islands,MNP,0.46,0.045,100.2,23786,7.9,0,,,,,,,,,23.4,,,,8.7,,,0.5,,,,,
Norway,NOR,364.27,5.52,15,87925,16,7.75,1.95,3.78,17.82,25,99,110.7,,2.5,3.6,82.6,9.4,8.4,18.5,77.8,3.6,61.4,206.96,23070,3,0.966,Very High
Oman,OMN,309.5,5.049,15.3,21550,11.6,19.38,0.61,17.6,10.54,47,95.3,135.1,0.03,5.7,13.8,73.9,17.7,3.3,2.7,32.8,1.5,0.1,296.59,8068,3,0.819,Very High
Pakistan,PAK,770.88,247.504,316.1,1365,62,0.82,0.91,17.89,4.57,943,32.9,81.7,,20.7,30.8,66.4,27.2,7,4.2,25.9,5.5,41.6,14.08,587,1,0.54,Low
Palau,PLW,0.46,0.018,38.6,15899,17.6,76.42,,,11.1,,,132.9,,,17,,8.8,11.4,10.9,,,0.9,,,,0.797,High
Panama,PAN,74.18,4.459,59.3,18686,30.5,2.59,,,21.66,28,73.6,156.3,0.32,5.6,8.2,76.8,17.4,5.9,9.1,54.3,6.7,28,77.85,2641,2,0.82,Very High
Papua New Guinea,PNG,452.86,10.39,22.5,2958,86.3,0.46,,1.55,5.33,4,27,48.4,0.65,27.7,16.7,66,25.1,6.5,3.3,47.9,2.7,54.6,8.83,423,1,0.568,Medium
Paraguay,PRY,396.012,6.844,17.1,6276,36.9,1.47,0.78,3.7,18.01,29,78.1,127.7,,4.5,7.5,70.5,20.3,7.4,6.4,62.7,5.8,58.8,25.67,2168,1,0.731,High
Peru,PER,1280,33.846,26.2,7907,21.1,1.84,1.1,4.96,16.94,158,74.7,122,0.17,7,4.8,73.4,17.4,7.5,9,69.6,4.8,30.6,30.92,1575,1,0.762,High
Philippines,PHL,298.17,114.891,382.2,3805,51.7,1.36,0.99,3.86,7.96,157,75.2,144,0.21,5.9,7.1,72.2,21.6,5.6,5.3,48.4,2.2,28,17.65,878,1,0.71,High
Poland,POL,306.09,36.687,120.3,22057,39.8,8.74,1.49,5.84,10.53,189,86.4,131.9,0.03,2.5,6.8,77.3,8.3,12.2,19.6,67.2,2.9,15.2,103.65,4351,2,0.881,Very High
Portugal,PRT,91.606,10.578,113.9,27331,32.1,3.96,1.66,3.14,14.72,52,85.8,124.5,0.06,2.5,9.1,81.6,8,11.9,24.1,74.4,6.5,32.3,73.3,4757,2,0.874,Very High
Puerto Rico,PRI,8.87,3.206,363,36779,6.4,3.92,0.7,,,,87.3,119.8,,,13.3,79.7,5.9,11,24.2,42.9,6,2.5,85.8,5824,3,,
Qatar,QAT,11.49,2.656,231.3,80196,0.6,38.62,0.52,23.84,8.39,22,100,174.1,0.04,,19.5,81.6,9.1,1.1,1.6,65.4,0.1,0,814.31,19565,3,0.875,Very High
Romania,ROU,230.08,19.059,82.8,18404,45.3,4.06,1.5,4.97,12.32,128,89.2,118.1,0.03,2.5,6.5,75.3,9.6,14.3,19.8,56.5,5.6,23.6,59.38,2557,2,0.827,Very High
Russian Federation,RUS,16376.87,143.826,8.8,13817,24.7,13.24,0.55,10.35,15.12,1454,92.2,169,,2.5,5.6,72.5,8.9,12.9,16.6,71.1,3.3,3.5,224.86,7027,3,0.821,Very High
Rwanda,RWA,24.67,13.954,553.3,1010,82.1,0.12,,4.48,9.47,35,34.4,79.9,0.24,31.4,6.5,67.1,29.5,5.8,3.8,56.8,14.9,79.9,1.79,63,1,0.548,Low
Samoa,WSM,2.78,0.217,77.4,4330,82.5,1.65,,,14.75,,75.3,60.4,,5.4,9.2,72.6,27,5.4,5.7,44.4,9.7,35.9,22.54,655,1,0.702,High
San Marino,SMR,0.06,0.034,562.6,54265,2.2,,,,17.85,,85.1,121.8,,,7.4,,6.1,7.8,21.7,,,,,,,0.867,Very High
Sao Tome and Principe,STP,0.96,0.231,235.7,2941,23.6,0.7,,,13.14,,57,86.8,0.06,16.4,5.5,68.8,28,5.8,3.9,39.7,14.2,42.5,8.88,204,1,0.613,Medium
Saudi Arabia,SAU,2149.69,33.264,15,32094,15.1,18.89,0.62,27.79,14.4,282,100,132.4,0.04,3,18.7,77.9,16.9,2.8,2.8,35.7,4.9,0.1,316.3,11529,3,0.875,Very High
Senegal,SEN,192.53,18.078,91.7,1706,50.4,0.68,,6.37,4.37,19,60,120.4,0.09,4.6,3.1,67.9,32.1,5.5,3.6,38.7,2.9,35.4,8.45,417,1,0.517,Low
Serbia,SRB,84.09,6.623,79.3,12282,42.9,,1.6,5.25,13.45,32,85.4,123.7,0.02,2.5,9.1,75.5,9.3,16.2,22.3,66.9,8.7,27.2,92.24,5196,3,0.805,Very High
Seychelles,SYC,0.46,0.12,260.6,17879,41.2,9.14,,3.2,10.18,0,86.7,191.5,,2.5,8.5,73.8,13.1,7.8,8.3,,,1.9,117.48,4853,2,0.802,Very High
Sierra Leone,SLE,72.18,8.461,114.7,758,55.7,0.13,,2.71,6.85,9,30.4,97.7,0.44,28.4,2.1,60.4,30.8,8.9,3.2,52.8,3.2,71.6,2.21,16,1,0.458,Low
Singapore,SGP,0.718,5.918,7851,84734,0,9.48,,16.91,20.81,59,94.3,156.5,,,11.6,82.9,7.9,6.3,13.1,72.5,3.5,1.1,643.98,9577,3,0.949,Very High
Sint Maarten (Dutch part),SXM,0.034,0.043,1239.4,38078,0,,,,,,,,,,,74.4,8.1,6,13.4,,,0,,,,,
Slovak Republic,SVK,48.08,5.427,113,24491,46,6.49,1.58,3.82,13.56,18,87.2,131.9,0.02,3.6,5.8,77.1,9.7,11,18.1,72.1,5.8,17.9,127.58,4456,2,0.855,Very High
Slovenia,SVN,20.136,2.12,104.9,32610,43.9,6.6,1.48,2.55,14.01,7,90.4,126.2,,2.5,5.8,81.3,8.3,10.6,21.3,74,3.6,23.4,104.5,6109,3,0.926,Very High
Solomon Islands,SLB,27.99,0.8,27.9,2042,74,0.41,,,10.54,,45,67,,19.4,19.8,70.7,29.3,4.9,3.6,84.2,1.5,50.1,6.11,114,1,0.562,Medium
Somalia,SOM,627.34,18.359,28.4,597,52.1,0.05,,20.37,,14,27.6,50.3,,51.3,6.5,56.1,43.1,11,2.6,21.9,19,95.4,0.65,22,1,0.38,Low
South Africa,ZAF,1213.09,63.212,51.4,6023,31.2,6.49,1.18,2.25,15.29,89,74.7,167.4,3.15,8.1,10.8,61.5,19.3,12,6.5,55.5,28,9.7,86.2,3084,2,0.717,High
South Sudan,SSD,631.93,11.483,17.4,,78.8,,,5.47,2.11,53,12.1,30,0.79,19.6,6.5,55.6,28.9,10.7,2.9,71.8,12.3,32.4,2.17,49,1,0.381,Low
Spain,ESP,499.714,48.348,95.6,33509,18.4,5.33,1.64,3.14,15.19,199,95.4,124.1,,2.5,10.3,83.1,6.9,9.7,20.7,69.9,12.1,19,101.12,4699,2,0.911,Very High
Sri Lanka,LKA,61.86,22.037,358.6,3828,80.8,0.84,,8.57,9.49,317,50.1,143.1,0.01,4.1,11.3,76.6,13.8,7.3,11.7,36.2,6.4,48.8,12.98,715,1,0.78,High
St. Kitts and Nevis,KNA,0.26,0.047,179.7,22574,68.9,2.18,,,7.91,,76.5,119.1,,,16.1,72,11.8,10.1,10.7,,,1.5,79.75,3902,2,0.838,Very High
St. Lucia,LCA,0.61,0.179,293.1,13555,80.8,1.43,,,8.68,,74.2,95.6,,,11.7,71.3,11.3,10.2,9.3,70.8,11.1,9.7,47.27,2037,1,0.725,High
St. Martin (French part),MAF,0.05,0.028,577.4,21668,,,,,,,,,,,,80.6,14.4,5.1,17.2,,,,,,,,
St. Vincent and the Grenadines,VCT,0.39,0.101,261.7,10520,45.7,0.81,,,9.6,,77.7,100.5,,4.8,8,69,12.7,14,11.6,62.3,18.7,5.1,36.4,1385,1,0.772,High
Sudan,SDN,1868,50.043,26.4,2183,63.7,0.5,1.05,9.5,7.86,144,28.7,74,0.09,11.4,18.9,65.6,33,6.7,3.2,29.8,11.4,61,6.15,279,1,0.516,Low
Suriname,SUR,160.508,0.629,3.9,5494,33.6,5.28,,,10.02,2,75.8,150.3,0.76,10.1,12.7,70.3,18,8.6,7.6,49.8,7.7,14.5,61.45,3015,2,0.69,Medium
Sweden,SWE,407.28,10.537,25.7,55517,11.3,3.61,1.57,2.72,19.55,15,95.7,125.1,,2.5,5,83.1,10,9,20.5,81.2,7.6,57.9,142.1,11889,3,0.952,Very High
Switzerland,CHE,39.51,8.888,222.2,99565,25.8,4.11,2.15,2.23,11.72,20,97.3,119.6,,2.5,4.6,83.5,9.4,8.5,19.6,79.2,4,27.7,99.58,6260,3,0.967,Very High
Syrian Arab Republic,SYR,185.18,23.595,121.3,1052,42.6,1.26,,,,269,35.8,79.7,0.01,34,14.9,72.3,20.5,5,4.7,14.9,13.5,1.1,13.78,658,1,0.557,Medium
Tajikistan,TJK,138.79,10.39,73.4,1161,71.8,1.04,,3.79,7.02,17,36.1,118.8,0.1,8.7,6.6,71.3,26,4.7,3.7,32.7,7,34.9,16.58,1470,1,0.679,Medium
Tanzania,TZA,885.8,66.618,73.1,1224,62.6,0.26,1.21,5.8,5.14,28,31.9,91.9,0.54,23.8,12.3,66.8,35.8,6,3,78.3,2.6,78.3,4.09,137,1,0.532,Low
Thailand,THA,510.89,71.702,140.4,7182,46.4,3.94,1.05,4.58,13.47,455,89.5,176.3,0.13,5.6,9.7,79.7,8.8,7.5,14.7,69.5,0.9,19,80.6,3002,2,0.803,Very High
Timor-Leste,TLS,14.87,1.384,92.1,1503,67.5,0.42,,2.55,6.97,2,40.8,110.4,0.07,15.9,8.6,69.1,24.6,6.5,5.3,60.6,1.5,11.4,6.94,297,1,0.566,Medium
Togo,TGO,54.39,9.304,167.1,986,55.5,0.27,,17.51,2.56,10,37.6,74.2,0.28,12.8,2.1,61.6,31.5,8.2,3.2,57.2,2,75.1,4.54,195,1,0.547,Low
Tonga,TON,0.72,0.105,145.9,4933,76.8,1.59,,,7.34,,57.5,60.7,,,15,71.3,22.9,6.9,6.6,45.2,2.3,2.3,22.59,641,1,0.739,High
Trinidad and Tobago,TTO,5.13,1.368,266.2,20016,46.6,21.39,0.52,2.64,11.07,5,80,130.6,,12.6,12.7,74.7,11.4,8.1,11.9,53.6,4.2,0.5,,6582,3,0.814,Very High
Tunisia,TUN,155.36,12.2,78,3978,29.5,2.96,,6.97,12.4,48,73.8,129.3,,3.2,9.6,74.3,15.6,7.6,9.2,29.9,15.1,11.6,33.06,1570,1,0.732,High
Turkiye,TUR,769.63,85.326,110.4,13106,22.5,5.66,1.26,4.4,11.53,512,86,105.8,,2.5,14.5,78.5,14.5,5.1,10,39.4,9.4,12,70.52,3342,2,0.855,Very High
Turkmenistan,TKM,469.93,7.364,15.4,8233,46,9.67,,,8.68,57,,98.6,,4.1,6.7,69.4,20.8,6.6,4.3,53.1,4.1,0.1,295.14,2923,2,0.744,High
Turks and Caicos Islands,TCA,0.95,0.046,48.3,30349,5.8,1.93,,,,,,,,,,74.9,12.3,9,10.9,,,0.8,,5457,3,,
Tuvalu,TUV,0.03,0.01,333.1,6345,33.8,0,,,8.2,,81.2,80.3,,,20.3,64.9,23.3,10.1,6.3,,,5.2,,,,0.653,Medium
Uganda,UGA,200.52,48.657,236,1002,73.2,0.16,,10.06,4.88,46,10,70,1.21,36.9,4.6,63.6,36.2,5.6,2.2,68.4,2.8,90.9,2.25,87,1,0.55,Medium
Ukraine,UKR,579.4,37.733,70.8,5070,29.9,3.23,1.26,7.32,10.15,298,79.2,135,,5.8,5.6,68.6,7.7,21.4,18.6,61.8,9.8,8.9,57.86,2369,1,0.734,High
United Arab Emirates,ARE,71.02,10.484,141.9,49041,12.2,21.72,0.68,,12.89,63,100,212.2,,2.7,16.4,79.2,9.9,1.9,1.7,56,2.7,1,450.43,15068,3,0.937,Very High
United Kingdom,GBR,241.93,68.35,280.2,49464,15.4,5.02,1.72,5.29,22.36,153,95.3,120.8,,2.5,6.3,82.1,10,9.1,19.2,74.2,4.1,12.2,94.34,3836,2,0.94,Very High
United States,USA,9147.42,334.915,36.4,82769,16.7,14.56,0.8,,21.41,1395,97.1,110.2,,2.5,10.7,77.4,11,9.8,17.4,67.7,3.6,10.9,279.91,12196,3,0.927,Very High
Uruguay,URY,175.02,3.388,19.4,22798,4.2,2.52,1.8,6.74,22.42,22,89.9,138.5,0.24,2.5,9,78,10.4,9.9,15.8,69.7,8.4,57.8,45.76,2900,2,0.83,Very High
Uzbekistan,UZB,440.652,35.652,79.3,2850,49.5,3.79,,,9.9,68,89,103.1,,2.5,7,71.7,26.2,4.8,5.7,43.6,4.5,1,56.07,2125,1,0.727,High
Vanuatu,VUT,12.19,0.32,25.7,3515,74,0.7,,,2.78,,69.9,78.2,,7.9,15.6,70.5,29,5.3,4.2,61.2,5.1,25,12.39,233,1,0.614,Medium
"Venezuela, RB",VEN,882.05,28.301,32,,11.6,3.44,0.02,,5.46,343,,63.4,,17.6,9.6,71.1,15.6,8.1,9.3,41.6,5.5,33.7,53.46,1996,1,0.699,Medium
Viet Nam,VNM,313.429,100.352,318,4282,60.5,3.29,0.78,,8.97,522,78.1,139.9,0.06,5.2,6.1,74.6,14.7,6.8,8.6,74.7,1.6,24.2,40.26,2765,2,0.726,High
Virgin Islands (U.S.),VIR,0.35,0.105,301.2,44321,3.8,0,,,,,,79.9,,,12.4,80.3,11.6,8.8,22.2,55.5,12.1,5.9,,,,,
West Bank and Gaza,PSE,6.025,5.166,817.1,3372,22.4,,,,,0,86.6,77.6,,,9.2,73.4,27.7,3.9,3.8,20.1,24.4,15.4,15.1,1346,1,0.716,High
"Yemen, Rep.",YEM,527.97,39.391,72.4,477,60.2,0.32,,,,40,17.7,46,0.03,39.5,5.4,63.7,29.9,6.8,2.5,5.2,17.2,3.7,3.42,65,1,0.424,Low
Zambia,ZMB,743.39,20.724,27.1,1331,53.7,0.46,,3.96,9.25,16,31.2,99.1,1.86,35.4,11.9,61.8,34.1,6.7,1.9,52.5,5.9,83,8.27,695,1,0.569,Medium
Zimbabwe,ZWE,386.85,16.341,41.5,2156,67.5,0.64,1.48,5.26,5.21,51,32.6,87.6,1.12,38.1,2.1,59.4,30.1,8.9,3.6,61.4,8.8,82.4,10.86,511,1,0.55,Medium
